Algorithm,Fidelity,Circuit width,Number of 2Q gates
Amplitude Estimation,0.6322236410565104,6,426
Amplitude Estimation,0.7531238297676319,6,426
Amplitude Estimation,0.9211999999999999,6,426
Amplitude Estimation,0.9966959649665109,4,82
Amplitude Estimation,0.8889399196653439,5,202
Amplitude Estimation,0.7908000000000001,6,426
Amplitude Estimation,0.0028000000000000156,7,868
Amplitude Estimation,1.0,4,88
Amplitude Estimation,0.9986142396683032,4,82
Amplitude Estimation,0.9990504583706942,4,82
Amplitude Estimation,0.9568299381023825,5,188
Amplitude Estimation,0.9717802878459422,5,188
Amplitude Estimation,0.9202370542535561,5,202
Amplitude Estimation,0.5548111443445097,6,426
Amplitude Estimation,0.4323026760361659,6,426
Amplitude Estimation,0.5604,6,426
Amplitude Estimation,0.9542154107047411,6,426
Amplitude Estimation,0.9258484555639408,6,426
Amplitude Estimation,0.9936,6,426
Amplitude Estimation,0.13662544963875672,7,868
Amplitude Estimation,0.2960797306392218,7,868
Amplitude Estimation,0.028771392035015157,7,868
Hamiltonian Simulation,0.9320099999999999,20,171
Hamiltonian Simulation,0.9306,22,189
Hamiltonian Simulation,0.9288799999999999,23,198
Hamiltonian Simulation,0.91996,24,207
Hamiltonian Simulation,0.9143399999999999,25,216
Hamiltonian Simulation,0.9039800000000001,26,225
Hamiltonian Simulation,0.9029070667129844,28,243
Hamiltonian Simulation,0.9007984937524381,29,252
Hamiltonian Simulation,0.9053424816506,27,234
Hamiltonian Simulation,0.9333373707795896,21,180
Hamiltonian Simulation,0.9728059560652108,10,81
Hamiltonian Simulation,0.9682459468363278,11,90
Hamiltonian Simulation,0.9638276779382952,12,99
Hamiltonian Simulation,0.9626561808257212,13,108
Hamiltonian Simulation,0.9599152642345397,14,117
Hamiltonian Simulation,0.9565298761397337,15,126
Hamiltonian Simulation,0.9537112121531391,16,135
Hamiltonian Simulation,0.9505660345484513,17,144
Hamiltonian Simulation,0.9418518743189962,18,153
Hamiltonian Simulation,0.9353133107104038,19,162
Hamiltonian Simulation,0.9953966791987365,4,27
Hamiltonian Simulation,0.9908601187201848,5,36
Hamiltonian Simulation,0.9846526300599521,6,45
Hamiltonian Simulation,0.9800670708182203,7,54
Hamiltonian Simulation,0.9772795716792029,8,63
Hamiltonian Simulation,0.9760933699021214,9,72
Monte Carlo Sampling (2),0.6397655273838642,6,478
Monte Carlo Sampling (2),0.952958247092713,4,96
Monte Carlo Sampling (2),0.7208371131623602,5,224
Monte Carlo Sampling (2),0.5404009569359735,6,478
Monte Carlo Sampling (2),0.9867188504232105,6,478
Monte Carlo Sampling (2),0.9801800161030593,6,478
Monte Carlo Sampling (2),0.9474527969027634,6,478
Monte Carlo Sampling (2),0.9776695890196441,6,478
Monte Carlo Sampling (2),0.9835569431223068,6,478
Monte Carlo Sampling (2),0.9553364140732133,6,478
Monte Carlo Sampling (2),0.8550154567328109,6,478
Monte Carlo Sampling (2),0.9413277071454519,6,478
Monte Carlo Sampling (2),0.98108669195013,6,478
Monte Carlo Sampling (2),0.9817168099665897,6,478
Phase Estimation,1.0,26,650
Phase Estimation,1.0,26,650
Phase Estimation,0.9932,23,506
Phase Estimation,1.0,23,506
Phase Estimation,1.0,23,506
Phase Estimation,1.0,24,552
Phase Estimation,1.0,24,552
Phase Estimation,1.0,24,552
Phase Estimation,1.0,25,600
Phase Estimation,1.0,25,600
Phase Estimation,1.0,25,600
Phase Estimation,1.0,21,420
Phase Estimation,1.0,21,420
Phase Estimation,1.0,21,420
Phase Estimation,1.0,22,462
Phase Estimation,1.0,22,462
Phase Estimation,1.0,22,462
Phase Estimation,1.0,18,304
Phase Estimation,1.0,18,306
Phase Estimation,0.9992000000000001,18,306
Phase Estimation,1.0,19,340
Phase Estimation,1.0,19,342
Phase Estimation,1.0,19,342
Phase Estimation,1.0,21,420
Phase Estimation,1.0,5,18
Phase Estimation,1.0,5,18
Phase Estimation,1.0,5,20
Phase Estimation,1.0,10,88
Phase Estimation,1.0,10,90
Phase Estimation,1.0,10,88
Phase Estimation,1.0,15,208
Phase Estimation,1.0,15,206
Phase Estimation,1.0,15,210
Phase Estimation,1.0,20,380
Phase Estimation,1.0,20,380
Phase Estimation,0.9975999999999999,20,378
Phase Estimation,1.0,9,66
Phase Estimation,1.0,9,66
Phase Estimation,1.0,9,70
Phase Estimation,0.9996,10,88
Phase Estimation,1.0,10,90
Phase Estimation,1.0,10,88
Phase Estimation,1.0,11,110
Phase Estimation,1.0,11,106
Phase Estimation,1.0,11,110
Phase Estimation,1.0,12,132
Phase Estimation,1.0,12,132
Phase Estimation,1.0,12,132
Phase Estimation,1.0,13,156
Phase Estimation,1.0,13,154
Phase Estimation,1.0,13,152
Phase Estimation,1.0,14,180
Phase Estimation,1.0,14,182
Phase Estimation,1.0,14,182
Phase Estimation,1.0,6,30
Phase Estimation,1.0,6,28
Phase Estimation,1.0,6,24
Phase Estimation,1.0,7,42
Phase Estimation,1.0,7,40
Phase Estimation,1.0,7,40
Phase Estimation,1.0,8,56
Phase Estimation,1.0,8,56
Phase Estimation,0.9996,8,56
Phase Estimation,1.0,15,208
Phase Estimation,1.0,15,206
Phase Estimation,0.9956,15,210
Phase Estimation,1.0,16,238
Phase Estimation,1.0,16,240
Phase Estimation,1.0,16,232
Phase Estimation,0.9956,17,272
Phase Estimation,1.0,17,272
Phase Estimation,1.0,17,272
Phase Estimation,1.0,6,30
Phase Estimation,1.0,6,28
Phase Estimation,1.0,6,24
Phase Estimation,1.0,7,42
Phase Estimation,1.0,7,40
Phase Estimation,1.0,7,40
Phase Estimation,1.0,8,56
Phase Estimation,1.0,8,56
Phase Estimation,1.0,8,56
Phase Estimation,1.0,28,756
Phase Estimation,1.0,28,756
Phase Estimation,1.0,28,756
Phase Estimation,0.9960000000000001,27,702
Phase Estimation,1.0,27,702
Phase Estimation,1.0,27,702
Phase Estimation,1.0,29,812
Phase Estimation,1.0,29,812
Phase Estimation,1.0,29,812
Phase Estimation,1.0,30,870
Phase Estimation,0.3492,30,870
Phase Estimation,0.3492,30,870
Phase Estimation,1.0,30,870
Phase Estimation,1.0,30,870
Phase Estimation,1.0,30,870
Quantum Fourier Transform (1),1.0,19,684
Quantum Fourier Transform (1),1.0,19,684
Quantum Fourier Transform (1),1.0,19,684
Quantum Fourier Transform (1),1.0,16,480
Quantum Fourier Transform (1),1.0,16,480
Quantum Fourier Transform (1),0.9972000000000001,16,480
Quantum Fourier Transform (1),1.0,17,544
Quantum Fourier Transform (1),1.0,17,544
Quantum Fourier Transform (1),1.0,17,544
Quantum Fourier Transform (1),1.0,18,612
Quantum Fourier Transform (1),1.0,18,612
Quantum Fourier Transform (1),1.0,16,480
Quantum Fourier Transform (1),1.0,16,480
Quantum Fourier Transform (1),1.0,16,480
Quantum Fourier Transform (1),1.0,18,612
Quantum Fourier Transform (1),1.0,6,60
Quantum Fourier Transform (1),1.0,6,60
Quantum Fourier Transform (1),1.0,6,60
Quantum Fourier Transform (1),1.0,5,40
Quantum Fourier Transform (1),1.0,5,40
Quantum Fourier Transform (1),1.0,5,40
Quantum Fourier Transform (1),0.9939999999999999,10,180
Quantum Fourier Transform (1),0.9912000000000001,10,180
Quantum Fourier Transform (1),0.9927999999999999,10,180
Quantum Fourier Transform (1),1.0,4,24
Quantum Fourier Transform (1),1.0,4,24
Quantum Fourier Transform (1),1.0,4,24
Quantum Fourier Transform (1),1.0,5,40
Quantum Fourier Transform (1),1.0,5,40
Quantum Fourier Transform (1),1.0,5,40
Quantum Fourier Transform (1),1.0,6,60
Quantum Fourier Transform (1),1.0,6,60
Quantum Fourier Transform (1),1.0,6,60
Quantum Fourier Transform (1),1.0,7,84
Quantum Fourier Transform (1),1.0,7,84
Quantum Fourier Transform (1),1.0,7,84
Quantum Fourier Transform (1),1.0,8,112
Quantum Fourier Transform (1),1.0,8,112
Quantum Fourier Transform (1),1.0,8,112
Quantum Fourier Transform (1),0.9968,9,144
Quantum Fourier Transform (1),1.0,9,144
Quantum Fourier Transform (1),0.9944000000000001,9,144
Quantum Fourier Transform (1),0.9992000000000001,10,180
Quantum Fourier Transform (1),0.9956,10,180
Quantum Fourier Transform (1),0.9952000000000001,10,180
Quantum Fourier Transform (1),0.9984,11,220
Quantum Fourier Transform (1),0.9980000000000001,11,220
Quantum Fourier Transform (1),0.9992000000000001,11,220
Quantum Fourier Transform (1),1.0,12,264
Quantum Fourier Transform (1),0.9908,12,264
Quantum Fourier Transform (1),1.0,12,264
Quantum Fourier Transform (1),1.0,13,312
Quantum Fourier Transform (1),1.0,13,312
Quantum Fourier Transform (1),0.9956,13,312
Quantum Fourier Transform (1),1.0,14,364
Quantum Fourier Transform (1),1.0,14,364
Quantum Fourier Transform (1),0.944,14,364
Quantum Fourier Transform (1),1.0,15,420
Quantum Fourier Transform (1),1.0,15,420
Quantum Fourier Transform (1),1.0,15,420
Quantum Fourier Transform (1),1.0,16,480
Quantum Fourier Transform (1),1.0,16,480
Quantum Fourier Transform (1),1.0,17,544
Quantum Fourier Transform (1),1.0,17,544
Quantum Fourier Transform (1),1.0,17,544
Quantum Fourier Transform (1),1.0,18,612
Quantum Fourier Transform (1),1.0,18,612
Quantum Fourier Transform (1),1.0,21,840
Quantum Fourier Transform (1),0.9984,21,840
Quantum Fourier Transform (1),1.0,21,840
Quantum Fourier Transform (1),1.0,20,760
Quantum Fourier Transform (1),0.9996,20,760
Quantum Fourier Transform (1),0.9887999999999999,20,760
Quantum Fourier Transform (1),0.9972000000000001,22,924
Quantum Fourier Transform (1),1.0,22,924
Quantum Fourier Transform (1),1.0,22,924
Quantum Fourier Transform (1),1.0,23,1012
Quantum Fourier Transform (1),1.0,23,1012
Quantum Fourier Transform (1),1.0,23,1012
Quantum Fourier Transform (1),1.0,24,1104
Quantum Fourier Transform (1),1.0,24,1104
Quantum Fourier Transform (1),1.0,24,1104
Quantum Fourier Transform (1),1.0,25,1200
Quantum Fourier Transform (1),1.0,25,1200
Quantum Fourier Transform (1),0.9956,25,1200
Quantum Fourier Transform (1),1.0,26,1300
Quantum Fourier Transform (1),0.9828,26,1300
Quantum Fourier Transform (1),1.0,26,1300
Quantum Fourier Transform (1),1.0,27,1404
Quantum Fourier Transform (1),1.0,27,1404
Quantum Fourier Transform (1),1.0,27,1404
VQE Simulation (1),0.83868600412861,4,56
VQE Simulation (1),0.9341973420320966,4,56
VQE Simulation (1),0.8646201162278896,4,56
VQE Simulation (1),0.7980501414101547,6,272
VQE Simulation (1),0.7996099187438904,6,272
VQE Simulation (1),0.5554747241885478,6,272
VQE Simulation (1),0.7872455064831937,6,272
VQE Simulation (1),0.7968688778098033,6,272
VQE Simulation (1),0.5049381115262656,6,272
